date,year,month,month_num,quarter,price,month_sin,month_cos,price_lag_1,price_lag_3,price_lag_6,price_lag_12,price_rolling_mean_3,price_rolling_mean_6,price_rolling_std_3,price_pct_change_1,price_pct_change_3,price_pct_change_12,price_yoy_change
2011-11-01,2011,November,11,4,92.65,-0.5000000000000004,0.8660254037844384,92.58,92.23,94.09,88.32,92.67,92.865,0.10148891565064203,0.0007561028299849504,0.004553832809281122,0.04902626811594213,0.04902626811594213
2011-12-01,2011,December,12,4,93.64,-2.4492935982947064e-16,1.0,92.65,92.78,94.19,90.15,92.95666666666666,92.77333333333335,0.5928181283777249,0.010685375067458036,0.00926923906014232,0.038713255684969416,0.038713255684969416
2012-01-01,2012,January,1,1,92.39,0.49999999999999994,0.8660254037844387,93.64,92.58,92.76,91.32,92.89333333333333,92.71166666666666,0.6595705673643038,-0.013348996155489123,-0.0020522791099589766,0.011717038983793282,0.011717038983793282
2012-02-01,2012,February,2,1,91.9,0.8660254037844386,0.5000000000000001,92.39,92.65,92.23,91.52,92.64333333333333,92.65666666666665,0.8972364979944106,-0.005303604286178154,-0.008094981111710697,0.004152097902097918,0.004152097902097918
2012-03-01,2012,March,3,1,92.55,1.0,6.123233995736766e-17,91.9,93.64,92.78,94.13,92.28000000000002,92.61833333333334,0.33867388443745017,0.007072905331882318,-0.011640324647586575,-0.016785296929777926,-0.016785296929777926
2012-04-01,2012,April,4,2,91.41,0.8660254037844387,-0.4999999999999998,92.55,92.39,92.58,92.97,91.95333333333333,92.42333333333333,0.5718682832027714,-0.012317666126418159,-0.010607208572356308,-0.016779606324620833,-0.016779606324620833
2012-05-01,2012,May,5,2,92.07,0.49999999999999994,-0.8660254037844387,91.41,91.9,92.65,94.09,92.00999999999999,92.32666666666667,0.572363520850126,0.0072202166064980755,0.0018498367791075498,-0.021468806461898304,-0.021468806461898304
2012-06-01,2012,June,6,2,91.27,1.2246467991473532e-16,-1.0,92.07,92.55,93.64,94.19,91.58333333333333,91.93166666666667,0.42723919920025255,-0.00868904094710543,-0.013830361966504556,-0.03100116785221363,-0.03100116785221363
2012-07-01,2012,July,7,3,89.78,-0.4999999999999997,-0.8660254037844388,91.27,91.41,92.39,92.76,91.04,91.49666666666667,1.1621961968617451,-0.01632518899967128,-0.017831747073624227,-0.03212591634325146,-0.03212591634325146
2012-08-01,2012,August,8,3,91.65,-0.8660254037844385,-0.5000000000000004,89.78,92.07,91.9,92.23,90.89999999999999,91.455,0.9883825170448447,0.02082869235910012,-0.004561746497230179,-0.006288626260435803,-0.006288626260435803
2012-09-01,2012,September,9,3,91.4,-1.0,-1.8369701987210297e-16,91.65,91.27,92.55,92.78,90.94333333333334,91.26333333333334,1.0152011294976189,-0.0027277686852155147,0.0014243453489646285,-0.014873895236042212,-0.014873895236042212
2012-10-01,2012,October,10,4,91.15,-0.8660254037844386,0.5000000000000001,91.4,89.78,91.41,92.58,91.39999999999999,91.22000000000001,0.24999999999982903,-0.00273522975929974,0.01525952327912683,-0.015446100669690987,-0.015446100669690987
2012-11-01,2012,November,11,4,91.06,-0.5000000000000004,0.8660254037844384,91.15,91.65,92.07,92.65,91.20333333333333,91.05166666666668,0.17616280348938038,-0.0009873834339002574,-0.006437534097108566,-0.01716135995682677,-0.01716135995682677
2012-12-01,2012,December,12,4,91.59,-2.4492935982947064e-16,1.0,91.06,91.4,91.27,93.64,91.26666666666667,91.105,0.28360771028524795,0.005820338238524014,0.0020787746170678467,-0.021892353695002087,-0.021892353695002087
2013-01-01,2013,January,1,1,89.86,0.49999999999999994,0.8660254037844387,91.59,91.15,89.78,92.39,90.83666666666666,91.11833333333334,0.8863595959503213,-0.01888852494813853,-0.014152495885902394,-0.027383916008225984,-0.027383916008225984
2013-02-01,2013,February,2,1,89.56,0.8660254037844386,0.5000000000000001,89.86,91.06,91.65,91.9,90.33666666666666,90.77,1.095734152672618,-0.0033385265969285705,-0.01647265539204923,-0.025462459194776965,-0.025462459194776965
